El. Winter	El. Intermediate	El. Summer
0.068316667	0.065016667	0.106233333
0.070816667	0.1041	0.170083333
0.131466667	0.110733333	0.211933333
0.134583333	0.117683333	0.175533333
0.14005	0.095733333	0.1823
0.155733333	0.157666667	0.156066667
0.1585	0.16765	0.1372
0.162233333	0.1723	0.143766667
0.135133333	0.1794	0.149316667
0.135116667	0.182116667	0.122966667
0.1601	0.170616667	0.12525
0.164133333	0.170616667	0.137766667
0.21655	0.204683333	0.145866667
0.218766667	0.2021	0.177366667
0.224216667	0.2066	0.18265
0.1901	0.1802	0.221933333
0.238616667	0.186	0.193916667
0.240083333	0.194683333	0.190033333
0.247283333	0.193583333	0.28355
0.250433333	0.235033333	0.3742
0.303233333	0.238716667	0.530283333
0.3007	0.237683333	0.458416667
0.307833333	0.204083333	0.424866667
0.31005	0.202733333	0.29165
0.315816667	0.206	0.300216667
0.319116667	0.153916667	0.296133333
0.323633333	0.151066667	0.232716667
0.329433333	0.15785	0.230083333
0.344616667	0.20235	0.272583333
0.344216667	0.230733333	0.270883333
0.3378	0.25145	0.27125
0.339133333	0.251316667	0.240433333
0.322466667	0.227483333	0.244666667
0.363016667	0.200966667	0.24205
0.390033333	0.2026	0.23755
0.395033333	0.205016667	0.240016667
0.3162	0.20685	0.257616667
0.291166667	0.213316667	0.26565
0.278883333	0.219633333	0.2675
0.284233333	0.21945	0.313266667
0.257216667	0.283233333	0.347816667
0.256333333	0.297066667	0.362366667
0.2582	0.319633333	0.398766667
0.227683333	0.320916667	0.369716667
0.22825	0.31595	0.35205
0.22815	0.294683333	0.316033333
0.22965	0.298616667	0.31625
0.224833333	0.300366667	0.28185
0.227033333	0.2642	0.296533333
0.232733333	0.2699	0.299783333
0.224716667	0.25675	0.277366667
0.23565	0.25665	0.275783333
0.236016667	0.25355	0.2735
0.23735	0.255266667	0.274416667
0.27335	0.261283333	0.275316667
0.271466667	0.254833333	0.280783333
0.2749	0.2539	0.2773
0.24955	0.257816667	0.280466667
0.24855	0.26085	0.3192
0.28285	0.265133333	0.271666667
0.2563	0.193983333	0.240733333
0.395616667	0.200133333	0.198133333
0.359766667	0.198133333	0.198083333
0.357433333	0.187416667	0.198616667
0.22905	0.226083333	0.194883333
0.259633333	0.22515	0.19745
0.265583333	0.2235	0.2085
0.28195	0.1903	0.250633333
0.256633333	0.179983333	0.25685
0.260766667	0.17285	0.297816667
0.280383333	0.19045	0.240783333
0.422616667	0.220066667	0.242166667
0.458483333	0.2253	0.204033333
0.435683333	0.219516667	0.205
0.2808	0.1822	0.203683333
0.24505	0.187	0.209116667
0.24435	0.1831	0.19805
0.23305	0.209116667	0.201333333
0.229833333	0.2156	0.203866667
0.230866667	0.22165	0.215416667
0.226716667	0.229133333	0.20035
0.229883333	0.234533333	0.195666667
0.233033333	0.234516667	0.204333333
0.232916667	0.1971	0.203583333
0.236883333	0.198516667	0.206416667
0.234766667	0.198566667	0.24735
0.2375	0.200233333	0.245933333
0.237333333	0.23355	0.243916667
0.219166667	0.241283333	0.203133333
0.21975	0.244166667	0.207666667
0.2081	0.205283333	0.210566667
0.2188	0.215833333	0.216983333
0.217133333	0.211083333	0.209116667
0.221833333	0.206833333	0.216366667
0.2286	0.205433333	0.217983333
