Th. Winter	Th. Intermediate	Th. Summer
0.438959385	2.180853832	1.949854969
0.728818984	2.000449951	1.814374394
0.72882905	1.816492146	1.451878442
1.089447044	1.816497094	1.451882371
1.45195121	1.816502014	1.451886184
1.451955269	1.452009395	1.451889888
1.29294193	1.452010786	1.451893487
1.112122625	1.452012089	1.089396986
1.089048652	1.089513415	1.089400388
1.0890513	1.089514761	1.089403698
0.970397083	1.322370409	1.003334858
0.730472356	1.310909255	0.385762765
0.585536338	1.309129039	0.339041853
0.49467848	1.307418057	0.33627038
0.223773356	1.305773671	0.329853808
0.222249377	1.304193264	0.220128159
0.583285206	1.195431343	0.767821865
0.581878541	1.194682035	0.581272908
0.580527165	1.19396191	0.579711234
0.579228948	1.175518747	0.578197318
0.577981841	1.058355574	0.57674782
0.857796029	0.70136818	0.575365517
0.577422753	0.698880878	0.574035872
0.469295789	0.696490427	0.469011003
0.468778669	0.469249953	0.364456233
0.468282489	0.444877498	0.364458252
0.352002981	0.331656809	0.324677909
0.150614801	0.329509913	0.112957803
0.118322981	0.327446829	0.111935687
0.117417937	0.325495356	0.11092771
0.116548297	0.32362019	0.109957918
0.177319763	0.321818492	0.001968548
0.11695761	0.381449183	0.364469891
0.478689381	0.320494998	0.364471202
0.47795157	0.31893086	0.364472046
0.477243034	0.380330652	0.364472878
0.538472973	0.363761472	0.364473534
0.57335403	0.221553213	0.364474349
0.372320293	0.220529641	0.159225325
0.974640189	0.116030162	0.003847242
0.872699895	0.115542947	0.366348322
0.512088674	0.115075058	0.366344078
0.375456247	0.114625499	0.255910629
0.026706546	0.47669384	0.005413736
0.071010229	0.123683726	0.118631705
0.018571877	0.012321662	0.009077336
0.018591793	0.012330219	0.009081871
0.018611743	0.012338288	0.009086596
0.018632162	0.012346297	0.009091495
0.018652857	0.012354964	0.009096245
0.018673554	0.012363567	0.009101151
0.018694404	0.012371985	0.009105926
0.018714096	0.012380575	0.009110906
0.433733917	0.01238908	0.00911677
0.381254027	0.012397554	0.009122663
0.381274287	0.012405739	0.0091282
0.486294974	0.012413958	0.009133819
0.381315354	0.012422097	0.009139061
0.381335835	0.01243016	0.009144385
0.381355966	0.012438146	0.009143992
0.381376188	0.012445813	0.009143852
0.381397098	0.012453866	0.009144528
0.381417581	0.012461676	0.00915152
0.381438223	0.012469415	0.009158493
0.343641453	0.012477085	0.009164606
0.136589296	0.012484395	0.009170671
0.135517214	0.012491645	0.009176308
0.134487407	0.012498561	0.180681962
0.133500352	0.375005701	0.009187592
0.284789558	0.375013357	0.00919323
0.133365767	0.737520933	0.00919262
0.13248576	0.73752843	0.059358616
