W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W60	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I26	I27	I28	I29	I30	I31	I32	I33	I34	I35	I36	I37	I38	I39	I40	I41	I42	I43	I44	I45	I46	I47	I48	I49	I50	I51	I52	I53	I54	I55	I56	I57	I58	I59	I60	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172968511	0	0	0	0	0	0	0	0	0	0	0	0	1.729012806	0	0	0	0	0	0	0	0	0	0	0	2.685581794	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	13.81879737	0	0	0	0	0	21.75	0	5.085905279	0	0	0	0	0	0	0	0	0	0	0	0	3.196527263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	21.75	0	0	0	0	0	0	0	0	0	0	8.24129813	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116302484	0	0	0	0	0	0	0	0	0	0	0	0.112836532	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0.117768868	0	0	0	0	0	21.75	0	0.11897838	0	0	0	0	0	0	0	0	0	0	0	0	11.04024979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	21.75	0	0	0	0	0	0	0	0	0	0	0.112463648	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116566054	0	0	0	0	0	0	0	0	0	0	0	0.113176956	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	21.75	0	0.119204259	0	0	0	0	0	0	0	0	0	0	0	0	0.120324491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.112706545	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116822656	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	21.75	0	0.119424453	0	0	0	0	0	0	0	0	0	0	0	0	0.120401195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.112942244	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117072592	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	21.75	0	0.11963919	0	0	0	0	0	0	0	0	0	0	0	0	0.120481677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.113171061	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117316149	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120563728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.113393295	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	12.3265158	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120647181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	21.75	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.113609231	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	1.477357482	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120725339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.113819137	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0.092919132	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120804878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.11402327	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0.093077995	21.75	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0.120885649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0	0.114221872	0	0	0	0	0
