time,soc,power
2017-08-05 00:00:00+00:00,67.0,12.0
2017-08-05 00:15:00+00:00,67.0,12.0
2017-08-05 00:30:00+00:00,67.0,4.0
2017-08-05 00:45:00+00:00,67.0,12.0
2017-08-05 01:00:00+00:00,67.0,12.0
2017-08-05 01:15:00+00:00,66.0,8.0
2017-08-05 01:30:00+00:00,66.0,12.0
2017-08-05 01:45:00+00:00,66.0,12.0
2017-08-05 02:00:00+00:00,66.0,4.0
2017-08-05 02:15:00+00:00,66.0,12.0
2017-08-05 02:30:00+00:00,66.0,12.0
2017-08-05 02:45:00+00:00,66.0,8.0
2017-08-05 03:00:00+00:00,66.0,12.0
2017-08-05 03:15:00+00:00,66.0,12.0
2017-08-05 03:30:00+00:00,66.0,4.0
2017-08-05 03:45:00+00:00,66.0,12.0
2017-08-05 04:00:00+00:00,66.0,12.0
2017-08-05 04:15:00+00:00,66.0,12.0
2017-08-05 04:30:00+00:00,65.0,4.0
2017-08-05 04:45:00+00:00,65.0,12.0
2017-08-05 05:00:00+00:00,65.0,12.0
2017-08-05 05:15:00+00:00,65.0,8.0
2017-08-05 05:30:00+00:00,65.0,12.0
2017-08-05 05:45:00+00:00,65.0,4.0
2017-08-05 06:00:00+00:00,65.0,12.0
2017-08-05 06:15:00+00:00,65.0,12.0
2017-08-05 06:30:00+00:00,66.0,8.0
2017-08-05 06:45:00+00:00,66.0,8.0
2017-08-05 07:00:00+00:00,66.0,560.0
2017-08-05 07:15:00+00:00,68.0,512.0
2017-08-05 07:30:00+00:00,69.0,568.0
2017-08-05 07:45:00+00:00,70.0,1060.0
2017-08-05 08:00:00+00:00,73.0,424.0
2017-08-05 08:15:00+00:00,74.0,940.0
2017-08-05 08:30:00+00:00,76.0,608.0
2017-08-05 08:45:00+00:00,78.0,1744.0
2017-08-05 09:00:00+00:00,81.0,1696.0
2017-08-05 09:15:00+00:00,85.0,1172.0
2017-08-05 09:30:00+00:00,86.0,-312.0
2017-08-05 09:45:00+00:00,86.0,312.0
2017-08-05 10:00:00+00:00,87.0,552.0
2017-08-05 10:15:00+00:00,87.0,60.0
2017-08-05 10:30:00+00:00,87.0,56.0
2017-08-05 10:45:00+00:00,87.0,292.0
2017-08-05 11:00:00+00:00,87.0,-1140.0
2017-08-05 11:15:00+00:00,84.0,-920.0
2017-08-05 11:30:00+00:00,84.0,-232.0
2017-08-05 11:45:00+00:00,81.0,-1500.0
2017-08-05 12:00:00+00:00,77.0,-1116.0
2017-08-05 12:15:00+00:00,74.0,-1532.0
2017-08-05 12:30:00+00:00,70.0,-412.0
